fit_unit_id,lake_id,phase,branch_label,selected_model,selected_r2,volume_formula,n_dates,first_date,last_date,reference_date,reference_wse_m,reference_area_km2,min_volume_1e6_m3,max_volume_1e6_m3,range_volume_1e6_m3,max_fill_rate_1e6_m3_day,max_drain_rate_1e6_m3_day,source_kind
lake_045_original_b01,45,original,B1,quadratic,0.9908208566039184,reference_wse_integral_A(h)_dh,38,2024-07-03,2024-08-14,2024-07-21,936.5532541528336,0.4022,0.0,1.4593027014251714,1.4593027014251714,0.1971099498961309,-0.081589443728606,ordinary_densified_area_wse
lake_047_original_b01,47,original,B1,linear,0.9265410302911714,reference_wse_integral_A(h)_dh,41,2024-06-28,2024-08-14,2024-07-04,595.677001953125,0.2571,0.0,2.680248836860335,2.680248836860335,0.4625350086977486,-0.5302422236335049,ordinary_densified_area_wse
lake_050_original_b01,50,original,B1,quadratic,0.9703422166845616,reference_wse_integral_A(h)_dh,35,2024-07-05,2024-08-13,2024-07-24,709.0671691894531,0.1452586527720996,-0.2271891877661876,0.8174528011695441,1.0446419889357317,0.5080791771942939,-0.2216087523251638,ordinary_densified_area_wse
lake_051_original_b01,51,original,B1,quadratic,0.9915024485158108,reference_wse_integral_A(h)_dh,30,2024-07-05,2024-08-06,2024-07-21,685.7994710747588,0.2,-0.1059251887975773,0.9491103260718406,1.055035514869418,0.2804927920453107,-0.135664424710904,ordinary_densified_area_wse
lake_052_original_b01,52,original,B1,quadratic,0.9386488598463748,reference_wse_integral_A(h)_dh,31,2024-07-05,2024-08-13,2024-07-24,599.5823040008545,0.1749800465950102,-0.1997162746745797,0.6462282268050499,0.8459445014796296,0.2885578611376456,-0.143927409711341,ordinary_densified_area_wse
lake_056_original_b01,56,original,B1,linear,0.9854720321718654,reference_wse_integral_A(h)_dh,40,2024-07-01,2024-08-13,2024-07-02,754.5155903361951,0.17265,-0.0129530948062143,0.9077736250045334,0.9207267198107478,0.2434608531753325,-0.1098411815138769,ordinary_densified_area_wse
lake_058_original_b01,58,original,B1,linear,0.94249761963386,reference_wse_integral_A(h)_dh,28,2024-07-03,2024-08-09,2024-07-14,904.7917579420744,0.2805999999999999,0.0,0.9740435443511476,0.9740435443511476,0.2501050750819209,-0.1031350732270806,ordinary_densified_area_wse
lake_059_original_b01,59,original,B1,quadratic,0.9833425595993384,reference_wse_integral_A(h)_dh,16,2024-07-08,2024-07-27,2024-07-13,730.8822326660156,0.2144,-0.0015735626625655,0.517783368260729,0.5193569309232945,0.1391589559738028,-0.1721887085709757,ordinary_densified_area_wse
lake_060_original_b01,60,original,B1,quadratic,0.953689067536846,reference_wse_integral_A(h)_dh,25,2024-07-03,2024-08-13,2024-07-13,961.6463245005086,0.3285,0.0,0.6076645923025696,0.6076645923025696,0.1346605296943035,-0.1165891156449491,ordinary_densified_area_wse
lake_066_original_b01,66,original,B1,quadratic,0.9706167103484968,reference_wse_integral_A(h)_dh,31,2024-07-04,2024-08-14,2024-07-26,843.956892047012,0.2186,0.0,0.7783829560141915,0.7783829560141915,0.1762492271114932,-0.1264858738633992,ordinary_densified_area_wse
